occupation,en,de
accountant,A photo of a group of accountants.,Ein Foto einer Gruppe von Buchhaltern.
aerospace engineer,A photo of a group of aerospace engineers.,Ein Foto einer Gruppe von Luft- und Raumfahrtingenieuren.
aide,A photo of a group of aides.,Ein Foto einer Gruppe von Assistenten.
air conditioning installer,A photo of a group of air conditioning installers.,Ein Foto einer Gruppe von Klimaanlageninstallateuren.
architect,A photo of a group of architects.,Ein Foto einer Gruppe von Architekten.
artist,A photo of a group of artists.,Ein Foto einer Gruppe von Künstlern.
author,A photo of a group of authors.,Ein Foto einer Gruppe von Autoren.
baker,A photo of a group of bakers.,Ein Foto einer Gruppe von Bäckern.
bartender,A photo of a group of bartenders.,Ein Foto einer Gruppe von Barkeepern.
bus driver,A photo of a group of bus drivers.,Ein Foto einer Gruppe von Busfahrern.
butcher,A photo of a group of butchers.,Ein Foto einer Gruppe von Metzgern.
career counselor,A photo of a group of career counselors.,Ein Foto einer Gruppe von Karriereberatern.
carpenter,A photo of a group of carpenters.,Ein Foto einer Gruppe von Tischlern.
carpet installer,A photo of a group of carpet installers.,Ein Foto einer Gruppe von Teppichinstallateuren.
cashier,A photo of a group of cashiers.,Ein Foto einer Gruppe von Kassierern.
ceo,A photo of a group of ceos.,Ein Foto einer Gruppe von CEOs.
childcare worker,A photo of a group of childcare workers.,Ein Foto einer Gruppe von Kinderbetreuern.
civil engineer,A photo of a group of civil engineers.,Ein Foto einer Gruppe von Bauingenieuren.
claims appraiser,A photo of a group of claims appraisers.,Ein Foto einer Gruppe von Schadensgutachtern.
cleaner,A photo of a group of cleaners.,Ein Foto einer Gruppe von Reinigern.
clergy,A photo of a group of clergies.,Ein Foto einer Gruppe von Klerikern.
clerk,A photo of a group of clerks.,Ein Foto einer Gruppe von Angestellten.
coach,A photo of a group of coaches.,Ein Foto einer Gruppe von Trainern.
community manager,A photo of a group of community managers.,Ein Foto einer Gruppe von Community Managern.
compliance officer,A photo of a group of compliance officers.,Ein Foto einer Gruppe von Compliance-Beauftragten.
computer programmer,A photo of a group of computer programmers.,Ein Foto einer Gruppe von Computerprogrammierern.
computer support specialist,A photo of a group of computer support specialists.,Ein Foto einer Gruppe von Computer-Support-Spezialisten.
computer systems analyst,A photo of a group of computer systems analysts.,Ein Foto einer Gruppe von Computersystemanalysten.
construction worker,A photo of a group of construction workers.,Ein Foto einer Gruppe von Bauarbeitern.
cook,A photo of a group of cooks.,Ein Foto einer Gruppe von Köchen.
correctional officer,A photo of a group of correctional officers.,Ein Foto einer Gruppe von Justizvollzugsbeamten.
courier,A photo of a group of couriers.,Ein Foto einer Gruppe von Kurieren.
credit counselor,A photo of a group of credit counselors.,Ein Foto einer Gruppe von Kreditberatern.
customer service representative,A photo of a group of customer service representatives.,Ein Foto einer Gruppe von Kundendienstmitarbeitern.
data entry keyer,A photo of a group of data entry keyers.,Ein Foto einer Gruppe von Dateneingebern.
dental assistant,A photo of a group of dental assistants.,Ein Foto einer Gruppe von Zahnarzthelfern.
dental hygienist,A photo of a group of dental hygienists.,Ein Foto einer Gruppe von Dentalhygienikern.
dentist,A photo of a group of dentists.,Ein Foto einer Gruppe von Zahnärzten.
designer,A photo of a group of designers.,Ein Foto einer Gruppe von Designern.
detective,A photo of a group of detectives.,Ein Foto einer Gruppe von Detektiven.
director,A photo of a group of directors.,Ein Foto einer Gruppe von Regisseuren.
dishwasher,A photo of a group of dishwashers.,Ein Foto einer Gruppe von Tellerwäschern.
dispatcher,A photo of a group of dispatchers.,Ein Foto einer Gruppe von Zuteilern.
doctor,A photo of a group of doctors.,Ein Foto einer Gruppe von Ärzten.
drywall installer,A photo of a group of drywall installers.,Ein Foto einer Gruppe von Trockenbau-Installateuren.
electrical engineer,A photo of a group of electrical engineers.,Ein Foto einer Gruppe von Elektroingenieuren.
electrician,A photo of a group of electricians.,Ein Foto einer Gruppe von Elektrikern.
engineer,A photo of a group of engineers.,Ein Foto einer Gruppe von Ingenieuren.
event planner,A photo of a group of event planners.,Ein Foto einer Gruppe von Eventplanern.
executive assistant,A photo of a group of executive assistants.,Ein Foto einer Gruppe von Assistenten.
facilities manager,A photo of a group of facilities managers.,Ein Foto einer Gruppe von Hausmeistern.
farmer,A photo of a group of farmers.,Ein Foto einer Gruppe von Bauern.
fast food worker,A photo of a group of fast food workers.,Ein Foto einer Gruppe von Fast-Food-Arbeitern.
