occupation;translated to german;MAGBIG category
knight;Ritter;Business & Management
astronomer;Astronom;Technical & Engineering
navigator;Navigator;Service & Hospitality
physician;Mediziner;Healthcare & Social Services
optician;Optiker;Technical & Engineering
clergyman;Kleriker;Healthcare & Social Services
clerk;Angesteller;Administration & Office
sculptor;Bildhauer;Technical & Engineering
piper;Dudelsackspieler;Service & Hospitality
actor;Schauspieler;Service & Hospitality
blacksmith;Schmied;Technical & Engineering
secretary;Sekretär;Administration & Office
foreman;Vorarbeiter;Construction & Maintainance
brewer;Brauer;Service & Hospitality
miner;Bergarbeiter;Construction & Maintainance
