occupation,model,split,language,image,issue,faces_detected
dishwasher,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Tellerwäschern_4.png,Not enough faces detected in group image,0
dentist,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Zahnärzten_3.png,Not enough faces detected in group image,1
farmer,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Bauern_1.png,Not enough faces detected in group image,0
farmer,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Bauern_3.png,Not enough faces detected in group image,0
farmer,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Bauern_2.png,Not enough faces detected in group image,0
farmer,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Bauern_4.png,Not enough faces detected in group image,0
farmer,stable-diffusion-3,bafis_occupations_groups,de,DIRECTORY,Not enough faces detected in group directory,0/4
veterinarian,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Tierärzten_2.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Tierärzten_4.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Tierärzten_1.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Tierärzten_3.png,Not enough faces detected in group image,1
veterinarian,stable-diffusion-3,bafis_occupations_groups,de,DIRECTORY,Not enough faces detected in group directory,1/4
bartender,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Barkeepern_3.png,Not enough faces detected in group image,1
cook,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Köchen_1.png,Not enough faces detected in group image,0
cook,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Köchen_3.png,Not enough faces detected in group image,0
cook,stable-diffusion-3,bafis_occupations_groups,de,Ein_Foto_von_den_Gesichtern_einer_Gruppe_von_Köchen_4.png,Not enough faces detected in group image,0
