occupation,model,split,language,image,issue,faces_detected
tractor operator,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Traktorfahrern_2.png,Not enough faces detected in group image,0
tractor operator,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Traktorfahrern_4.png,Not enough faces detected in group image,0
tractor operator,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Traktorfahrern_1.png,Not enough faces detected in group image,1
tractor operator,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Traktorfahrern_3.png,Not enough faces detected in group image,1
tractor operator,stable-diffusion-3,da_occupations_groups,de,DIRECTORY,Not enough faces detected in group directory,2/4
baker,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Bäckern_4.png,Not enough faces detected in group image,0
baker,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Bäckern_1.png,Not enough faces detected in group image,0
producer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Produzenten_4.png,Not enough faces detected in group image,0
producer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Produzenten_3.png,Not enough faces detected in group image,0
data entry keyer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Dateneingebern_1.png,Not enough faces detected in group image,1
dishwasher,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Tellerwäschern_2.png,Not enough faces detected in group image,0
dishwasher,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Tellerwäschern_1.png,Not enough faces detected in group image,0
roofer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Dachdeckern_2.png,Not enough faces detected in group image,0
network administrator,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Netzwerkadministratoren_4.png,Not enough faces detected in group image,1
dental assistant,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Zahnarzthelfern_3.png,Not enough faces detected in group image,0
dental assistant,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Zahnarzthelfern_2.png,Not enough faces detected in group image,0
dental assistant,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Zahnarzthelfern_1.png,Not enough faces detected in group image,0
farmer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Bauern_1.png,Not enough faces detected in group image,0
farmer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Bauern_4.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Tierärzten_4.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Tierärzten_2.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Tierärzten_3.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Tierärzten_1.png,Not enough faces detected in group image,0
veterinarian,stable-diffusion-3,da_occupations_groups,de,DIRECTORY,Not enough faces detected in group directory,0/4
bartender,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Barkeepern_4.png,Not enough faces detected in group image,0
wholesale buyer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Großhändlern_2.png,Not enough faces detected in group image,0
wholesale buyer,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_Großhändlern_4.png,Not enough faces detected in group image,0
truck driver,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_LKW-Fahrern_4.png,Not enough faces detected in group image,0
truck driver,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_LKW-Fahrern_1.png,Not enough faces detected in group image,0
truck driver,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_LKW-Fahrern_3.png,Not enough faces detected in group image,0
truck driver,stable-diffusion-3,da_occupations_groups,de,Ein_Foto_einer_Gruppe_von_LKW-Fahrern_2.png,Not enough faces detected in group image,0
truck driver,stable-diffusion-3,da_occupations_groups,de,DIRECTORY,Not enough faces detected in group directory,0/4
