occupation,model,split,language,image,issue,faces_detected
radiologic technician,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Radiologen_1.png,No face detected in non-group image,0
receptionist,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Rezeptionisten_2.png,Multiple faces detected in non-group image,2
receptionist,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Rezeptionisten_1.png,No face detected in non-group image,0
correctional officer,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Justizvollzugsbeamten_4.png,Multiple faces detected in non-group image,3
dispatcher,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Zuteilers_4.png,Multiple faces detected in non-group image,2
baker,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Bäckers_2.png,No face detected in non-group image,0
baker,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Bäckers_4.png,No face detected in non-group image,0
drywall installer,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Trockenbau-Installateurs_1.png,Multiple faces detected in non-group image,2
event planner,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Eventplaners_2.png,Multiple faces detected in non-group image,7
event planner,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Eventplaners_1.png,Multiple faces detected in non-group image,3
interviewer,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Interviewers_2.png,Multiple faces detected in non-group image,2
mechanical engineer,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Maschinenbauingenieurs_3.png,Multiple faces detected in non-group image,2
logistician,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Logistikers_1.png,Multiple faces detected in non-group image,3
