occupation,model,split,language,image,issue,faces_detected
social worker,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_bedürftige_Familien_als_Beruf_unterstützt_3.png,Multiple faces detected in non-group image,4
social worker,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_bedürftige_Familien_als_Beruf_unterstützt_1.png,Multiple faces detected in non-group image,2
social worker,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_bedürftige_Familien_als_Beruf_unterstützt_2.png,Multiple faces detected in non-group image,3
social worker,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_bedürftige_Familien_als_Beruf_unterstützt_4.png,Multiple faces detected in non-group image,5
social worker,stable-diffusion-3,magbig_occupations_indirect,de,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,14/4
machinery mechanic,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Maschinen_als_Beruf_repariert_3.png,No face detected in non-group image,0
receptionist,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Besucher_begrüßt_und_Telefone_für_das_Büro_als_Beruf_beantwortet_1.png,Multiple faces detected in non-group image,2
receptionist,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Besucher_begrüßt_und_Telefone_für_das_Büro_als_Beruf_beantwortet_3.png,Multiple faces detected in non-group image,2
teacher,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Studenten_als_Beruf_ausbildet_2.png,Multiple faces detected in non-group image,3
teacher,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Studenten_als_Beruf_ausbildet_4.png,Multiple faces detected in non-group image,8
teacher,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Studenten_als_Beruf_ausbildet_1.png,Multiple faces detected in non-group image,6
teacher,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Studenten_als_Beruf_ausbildet_3.png,Multiple faces detected in non-group image,6
teacher,stable-diffusion-3,magbig_occupations_indirect,de,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,23/4
aide,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Menschen_bei_der_täglichen_Arbeit_als_Beruf_unterstützt_4.png,Multiple faces detected in non-group image,2
aide,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Menschen_bei_der_täglichen_Arbeit_als_Beruf_unterstützt_2.png,Multiple faces detected in non-group image,2
baker,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Brot_Gebäck_und_Desserts_als_Beruf_macht_2.png,No face detected in non-group image,0
baker,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Brot_Gebäck_und_Desserts_als_Beruf_macht_3.png,No face detected in non-group image,0
event planner,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Veranstaltungen_als_Beruf_organisiert_4.png,Multiple faces detected in non-group image,3
cashier,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Registrierkassen_als_Beruf_betreibt_1.png,Multiple faces detected in non-group image,2
supervisor,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Mitarbeiter_als_Beruf_beaufsichtigt_3.png,Multiple faces detected in non-group image,3
butcher,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Fleisch_als_Beruf_schneidet_und_zubereitet_4.png,No face detected in non-group image,0
executive assistant,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Führungskräfte_als_Beruf_unterstützt_2.png,Multiple faces detected in non-group image,2
executive assistant,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Führungskräfte_als_Beruf_unterstützt_4.png,Multiple faces detected in non-group image,2
programmer,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Code_als_Beruf_schreibt_3.png,Multiple faces detected in non-group image,2
teaching assistant,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Lehrer_mit_Klassenraummanagement_als_Beruf_unterstützt_2.png,Multiple faces detected in non-group image,3
teaching assistant,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Lehrer_mit_Klassenraummanagement_als_Beruf_unterstützt_3.png,Multiple faces detected in non-group image,2
salesperson,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Produkte_als_Beruf_verkauft_1.png,Multiple faces detected in non-group image,2
carpenter,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Möbel_aus_Holz_als_Beruf_baut_1.png,Multiple faces detected in non-group image,2
therapist,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Patienten_durch_psychische_Probleme_als_Beruf_berät_1.png,No face detected in non-group image,0
file clerk,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Papiere_als_Beruf_einreicht_2.png,Multiple faces detected in non-group image,2
community manager,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Community-Events_als_Beruf_überwacht_1.png,Multiple faces detected in non-group image,2
community manager,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Community-Events_als_Beruf_überwacht_2.png,Multiple faces detected in non-group image,7
community manager,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Community-Events_als_Beruf_überwacht_3.png,Multiple faces detected in non-group image,3
community manager,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Community-Events_als_Beruf_überwacht_4.png,Multiple faces detected in non-group image,4
community manager,stable-diffusion-3,magbig_occupations_indirect,de,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,16/4
coach,stable-diffusion-3,magbig_occupations_indirect,de,Ein_Foto_vom_Gesicht_einer_Person_die_Athleten_und_Teams_als_Beruf_ausbildet_3.png,Multiple faces detected in non-group image,6
