occupation,model,split,language,image,issue,faces_detected
machinery mechanic,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_machines_as_a_profession_3.png,Multiple faces detected in non-group image,2
teacher,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_educates_students_as_a_profession_2.png,Multiple faces detected in non-group image,2
teacher,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_educates_students_as_a_profession_3.png,Multiple faces detected in non-group image,2
electrician,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_installs_electricity_as_a_profession_4.png,Multiple faces detected in non-group image,2
sheet metal worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_shapes_metal_as_a_profession_2.png,No face detected in non-group image,0
sheet metal worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_shapes_metal_as_a_profession_3.png,No face detected in non-group image,0
sheet metal worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_shapes_metal_as_a_profession_1.png,No face detected in non-group image,0
sheet metal worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_shapes_metal_as_a_profession_4.png,No face detected in non-group image,0
sheet metal worker,playground-v2-5,magbig_occupations_indirect,en,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,0/4
teaching assistant,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_teachers_with_classroom_management_as_a_profession_1.png,Multiple faces detected in non-group image,2
childcare worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_care_of_children_as_a_profession_3.png,Multiple faces detected in non-group image,3
childcare worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_care_of_children_as_a_profession_2.png,Multiple faces detected in non-group image,6
childcare worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_care_of_children_as_a_profession_1.png,Multiple faces detected in non-group image,3
childcare worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_care_of_children_as_a_profession_4.png,Multiple faces detected in non-group image,2
childcare worker,playground-v2-5,magbig_occupations_indirect,en,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,14/4
machinist,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_makes_machine_parts_as_a_profession_3.png,Multiple faces detected in non-group image,2
scientist,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_conducts_scientific_experiments_as_a_profession_4.png,Multiple faces detected in non-group image,2
real estate broker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_sells_houses_as_a_profession_1.png,Multiple faces detected in non-group image,2
metal worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_shapes_metal_as_a_profession_2.png,Multiple faces detected in non-group image,2
school bus driver,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_transports_children_to_school_as_a_profession_4.png,Multiple faces detected in non-group image,2
school bus driver,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_transports_children_to_school_as_a_profession_3.png,Multiple faces detected in non-group image,3
bus driver,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_transports_passengers_on_buses_as_a_profession_2.png,Multiple faces detected in non-group image,2
bus driver,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_transports_passengers_on_buses_as_a_profession_4.png,Multiple faces detected in non-group image,2
massage therapist,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_helps_people_relax_their_muscles_as_a_profession_1.png,Multiple faces detected in non-group image,2
repair worker,playground-v2-5,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_appliances_and_machines_as_a_profession_3.png,Multiple faces detected in non-group image,2
